dataset_id,method,frame_idx,decode_success,verify_success,raw_frame_ser,raw_frame_ber,post_frame_ser,post_frame_ber,leak_bits_frame,iterations_used,runtime_ms,passes_used,total_blocks_checked,parity_disclosures_bits,bisection_disclosures_bits,verification_bits,other_disclosures_bits,candidate_flips,verified_flips,block_size_schedule,num_passes,notes,dimension,bin_width_ps,data_mode,frame_cap,permutation_mode,seed,param_hash
real_typeii_20db_d1024_bw100_blk0,cascade_lite,9,True,True,0.25,0.025,0.0,0.0,380.0,48,14.152699965052307,4,150,300,48,32,0,16,16,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,10,True,True,0.15625,0.015625,0.0,0.0,362.0,30,1.622700016014278,4,150,300,30,32,0,10,10,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,11,True,True,0.25,0.025,0.0,0.0,380.0,48,5.712499958463013,4,150,300,48,32,0,16,16,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,12,True,True,0.25,0.025,0.0,0.0,380.0,48,9.113800013437867,4,150,300,48,32,0,16,16,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,13,True,True,0.25,0.025,0.0,0.0,380.0,48,9.164499933831394,4,150,300,48,32,0,16,16,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,14,True,True,0.1875,0.01875,0.0,0.0,368.0,36,12.340600020252168,4,150,300,36,32,0,12,12,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw100_blk0,cascade_lite,15,True,True,0.328125,0.0328125,0.0,0.0,395.0,63,8.482799981720746,4,150,300,63,32,0,21,21,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,462a3bc6d744a527
real_typeii_20db_d1024_bw120_blk0,cascade_lite,0,True,True,0.21875,0.021875,0.0,0.0,374.0,42,11.141500086523592,4,150,300,42,32,0,14,14,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,120,real_data,4,identity,0,6c76f6300a2bf603
real_typeii_20db_d1024_bw120_blk0,cascade_lite,1,True,False,0.1875,0.01875,0.03125,0.003125,362.0,30,6.548000033944845,4,150,300,30,32,0,10,10,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,120,real_data,4,identity,0,6c76f6300a2bf603
real_typeii_20db_d1024_bw120_blk0,cascade_lite,2,True,True,0.21875,0.021875,0.0,0.0,374.0,42,7.58580002002418,4,150,300,42,32,0,14,14,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,120,real_data,4,identity,0,6c76f6300a2bf603
real_typeii_20db_d1024_bw120_blk0,cascade_lite,3,True,True,0.25,0.025,0.0,0.0,380.0,48,9.019599994644523,4,150,300,48,32,0,16,16,"8,16,32,64",4,leakage_accounting=approximate_internal_transcript,1024,120,real_data,4,identity,0,6c76f6300a2bf603
real_typeii_20db_d1024_bw100_blk0,cascade_lite,0,True,False,0.28125,0.028125,0.03125,0.003125,380.0,48,24.03729991056025,4,150,300,48,32,0,16,16,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,f21d3c73c2c63926
real_typeii_20db_d1024_bw100_blk0,cascade_lite,1,True,True,0.234375,0.0234375,0.0,0.0,377.0,45,2.835800056345761,4,150,300,45,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,f21d3c73c2c63926
real_typeii_20db_d1024_bw100_blk0,cascade_lite,2,True,True,0.234375,0.0234375,0.0,0.0,377.0,45,3.334200009703636,4,150,300,45,32,0,15,15,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,f21d3c73c2c63926
real_typeii_20db_d1024_bw100_blk0,cascade_lite,3,True,True,0.21875,0.021875,0.0,0.0,374.0,42,11.393800028599799,4,150,300,42,32,0,14,14,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,f21d3c73c2c63926
real_typeii_20db_d1024_bw100_blk0,cascade_lite,4,True,True,0.21875,0.021875,0.0,0.0,374.0,42,15.999400056898594,4,150,300,42,32,0,14,14,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,f21d3c73c2c63926
real_typeii_20db_d1024_bw100_blk0,cascade_lite,5,True,False,0.1875,0.01875,0.03125,0.003125,362.0,30,16.243199934251606,4,150,300,30,32,0,10,10,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,f21d3c73c2c63926
real_typeii_20db_d1024_bw100_blk0,cascade_lite,6,True,True,0.171875,0.0171875,0.0,0.0,365.0,33,8.886200026609004,4,150,300,33,32,0,11,11,"8,16,32,64",6,leakage_accounting=approximate_internal_transcript,1024,100,real_data,16,identity,1,f21d3c73c2c63926
