source_tag,frame_id,raw_ser,bitplane_mismatch,max_bitplane_mismatch,min_bitplane_mismatch,lsb_mismatch,msb_mismatch,final_entropy,stagnation_iterations,oscillation_detected
type2_1p5M_20260121_183806,2559,0.2578125,"[0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.00390625, 0.02734375, 0.03515625, 0.05859375, 0.125]",0.125,0.0,0.125,0.0,0.06627371471682778,49,False
type2_1p5M_20260121_183806,2726,0.234375,"[0.0, 0.0, 0.00390625, 0.00390625, 0.0, 0.01171875, 0.00390625, 0.04296875, 0.0546875, 0.11328125]",0.11328125,0.0,0.11328125,0.0,0.044024204383413826,50,False
type2_1p5M_20260121_183806,2758,0.3125,"[0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.01953125, 0.01171875, 0.0625, 0.1015625, 0.109375]",0.109375,0.0,0.109375,0.0,0.09944858031437931,50,False
type2_2M_20260121_183657,52,0.23046875,"[0.00390625, 0.0, 0.0, 0.00390625, 0.0, 0.0078125, 0.015625, 0.03125, 0.06640625, 0.1015625]",0.1015625,0.0,0.1015625,0.00390625,0.09424400931881055,51,False
type2_2M_20260121_183657,56,0.296875,"[0.0, 0.0078125, 0.00390625, 0.0, 0.0078125, 0.01171875, 0.0078125, 0.05078125, 0.0546875, 0.15234375]",0.15234375,0.0,0.15234375,0.0,0.07539248562979876,54,False
type2_2M_20260121_183657,201,0.30078125,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.00390625, 0.015625, 0.046875, 0.10546875, 0.12890625]",0.12890625,0.0,0.12890625,0.0,0.09671673128668591,48,False
type2_2M_20260121_183657,255,0.2265625,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0078125, 0.01171875, 0.04296875, 0.05859375, 0.1015625]",0.1015625,0.0,0.1015625,0.0,0.08366092898401192,90,False
type2_2M_20260121_183657,415,0.25,"[0.0, 0.0, 0.0, 0.0078125, 0.0078125, 0.0078125, 0.01171875, 0.03515625, 0.05859375, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.025814315700675505,56,True
type2_2M_20260121_183657,471,0.2890625,"[0.0, 0.0, 0.0, 0.00390625, 0.0078125, 0.0, 0.0234375, 0.0234375, 0.07421875, 0.15625]",0.15625,0.0,0.15625,0.0,0.06883905839648342,45,False
type2_2M_20260121_183657,582,0.24609375,"[0.0, 0.0, 0.00390625, 0.00390625, 0.0078125, 0.00390625, 0.0234375, 0.02734375, 0.078125, 0.09765625]",0.09765625,0.0,0.09765625,0.0,0.0727373264485686,53,False
type2_2M_20260121_183657,655,0.2421875,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.0078125, 0.00390625, 0.03125, 0.10546875, 0.08984375]",0.10546875,0.0,0.08984375,0.0,0.10067416620259691,56,False
type2_2M_20260121_183657,702,0.23828125,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0, 0.01171875, 0.02734375, 0.07421875, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.07023446867921965,57,False
type2_2M_20260121_183657,723,0.25,"[0.0, 0.0, 0.0, 0.0078125, 0.00390625, 0.0078125, 0.01953125, 0.03515625, 0.06640625, 0.109375]",0.109375,0.0,0.109375,0.0,0.02808319111528767,48,True
type2_2M_20260121_183657,761,0.25,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.015625, 0.03515625, 0.0859375, 0.10546875]",0.10546875,0.0,0.10546875,0.0,0.09400740306616495,49,False
type2_2M_20260121_183657,768,0.25,"[0.0, 0.00390625, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.04296875, 0.06640625, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.11085143196111819,53,True
type2_2M_20260121_183657,982,0.21484375,"[0.0, 0.00390625, 0.0, 0.0, 0.00390625, 0.01171875, 0.01953125, 0.01953125, 0.03515625, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.07788990177619591,66,False
type2_2M_20260121_183657,1002,0.296875,"[0.0, 0.0, 0.0, 0.0, 0.0078125, 0.0078125, 0.01953125, 0.04296875, 0.0625, 0.15625]",0.15625,0.0,0.15625,0.0,0.0373544703562155,45,False
type2_2M_20260121_183657,1038,0.28515625,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.015625, 0.06640625, 0.0546875, 0.140625]",0.140625,0.0,0.140625,0.0,0.05092935274122519,56,False
type2_2M_20260121_183657,1185,0.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0234375, 0.02734375, 0.06640625, 0.1328125]",0.1328125,0.0,0.1328125,0.0,0.09615201651641637,53,True
type2_2M_20260121_183657,1254,0.30859375,"[0.0, 0.0, 0.0, 0.0, 0.0078125, 0.00390625, 0.03515625, 0.03125, 0.0625, 0.16796875]",0.16796875,0.0,0.16796875,0.0,0.06089638794918582,45,False
type2_2M_20260121_183657,1260,0.265625,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.0078125, 0.01953125, 0.03125, 0.08203125, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.09345786121113009,66,False
type2_2M_20260121_183657,1282,0.24609375,"[0.0, 0.00390625, 0.0, 0.00390625, 0.0, 0.0234375, 0.015625, 0.05078125, 0.0625, 0.0859375]",0.0859375,0.0,0.0859375,0.0,0.051981087104497704,41,False
type2_2M_20260121_183657,1387,0.2734375,"[0.0, 0.0, 0.00390625, 0.00390625, 0.00390625, 0.00390625, 0.015625, 0.01953125, 0.0859375, 0.13671875]",0.13671875,0.0,0.13671875,0.0,0.06291734979199201,46,False
type2_2M_20260121_183657,1400,0.27734375,"[0.0, 0.0, 0.0, 0.00390625, 0.0078125, 0.0078125, 0.02734375, 0.03515625, 0.0625, 0.1328125]",0.1328125,0.0,0.1328125,0.0,0.07250232589913058,49,True
type2_2M_20260121_183657,1474,0.28515625,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0, 0.015625, 0.04296875, 0.09765625, 0.125]",0.125,0.0,0.125,0.0,0.023872656420977127,46,False
type2_2M_20260121_183657,1511,0.2265625,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0234375, 0.03125, 0.05859375, 0.109375]",0.109375,0.0,0.109375,0.0,0.04122061951230307,61,False
type2_2M_20260121_183657,1526,0.203125,"[0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.01171875, 0.00390625, 0.01953125, 0.05859375, 0.1015625]",0.1015625,0.0,0.1015625,0.0,0.1198560210021982,75,False
type2_2M_20260121_183657,1690,0.2578125,"[0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.00390625, 0.02734375, 0.03515625, 0.046875, 0.13671875]",0.13671875,0.0,0.13671875,0.0,0.08125298769621339,62,False
type2_2M_20260121_183657,1722,0.27734375,"[0.0, 0.0, 0.0, 0.0078125, 0.00390625, 0.00390625, 0.01171875, 0.0625, 0.0546875, 0.1328125]",0.1328125,0.0,0.1328125,0.0,0.06707921949060212,47,False
type2_2M_20260121_183657,1835,0.29296875,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.0078125, 0.01953125, 0.0078125, 0.078125, 0.17578125]",0.17578125,0.0,0.17578125,0.0,0.027420804758304662,38,False
type2_2M_20260121_183657,1966,0.2421875,"[0.0, 0.00390625, 0.00390625, 0.0, 0.00390625, 0.00390625, 0.015625, 0.01953125, 0.1015625, 0.08984375]",0.1015625,0.0,0.08984375,0.0,0.14295890318791707,45,False
type2_2M_20260121_183657,2032,0.27734375,"[0.0, 0.0, 0.0, 0.0, 0.0078125, 0.01953125, 0.0234375, 0.02734375, 0.0859375, 0.11328125]",0.11328125,0.0,0.11328125,0.0,0.23697674430851995,52,True
type2_2M_20260121_183657,2063,0.30859375,"[0.0, 0.0, 0.00390625, 0.0, 0.0, 0.01171875, 0.02734375, 0.05078125, 0.07421875, 0.140625]",0.140625,0.0,0.140625,0.0,0.11970346819559831,87,False
type2_2M_20260121_183657,2141,0.28125,"[0.0, 0.0, 0.0078125, 0.00390625, 0.0078125, 0.0078125, 0.0078125, 0.04296875, 0.05078125, 0.15234375]",0.15234375,0.0,0.15234375,0.0,0.045270831902505596,45,False
type2_2M_20260121_183657,2161,0.25390625,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.00390625, 0.015625, 0.0390625, 0.0546875, 0.13671875]",0.13671875,0.0,0.13671875,0.0,0.06048305407317436,72,True
type2_2M_20260121_183657,2266,0.27734375,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.01171875, 0.01953125, 0.0234375, 0.0859375, 0.13671875]",0.13671875,0.0,0.13671875,0.0,0.07959740200513044,47,False
type2_2M_20260121_183657,2278,0.296875,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.01953125, 0.03515625, 0.078125, 0.1484375]",0.1484375,0.0,0.1484375,0.0,0.07789898272761851,53,False
type2_2M_20260121_183657,2303,0.1875,"[0.00390625, 0.0, 0.0, 0.00390625, 0.00390625, 0.0078125, 0.0078125, 0.02734375, 0.04296875, 0.08984375]",0.08984375,0.0,0.08984375,0.00390625,0.035678571393191756,79,False
type2_2M_20260121_183657,2305,0.26953125,"[0.0, 0.0, 0.0, 0.01171875, 0.0, 0.01171875, 0.0234375, 0.046875, 0.0546875, 0.12109375]",0.12109375,0.0,0.12109375,0.0,0.06417681190273092,39,False
type2_2M_20260121_183657,2314,0.2578125,"[0.0, 0.0, 0.0, 0.0, 0.01171875, 0.01171875, 0.01171875, 0.03125, 0.07421875, 0.1171875]",0.1171875,0.0,0.1171875,0.0,0.09703272890430215,77,False
type2_2M_20260121_183657,2348,0.25,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0078125, 0.01953125, 0.02734375, 0.0703125, 0.125]",0.125,0.0,0.125,0.0,0.02950292802936432,49,True
type2_2M_20260121_183657,2377,0.23828125,"[0.0, 0.0, 0.0, 0.00390625, 0.0, 0.015625, 0.01171875, 0.03125, 0.06640625, 0.109375]",0.109375,0.0,0.109375,0.0,0.033656977843273296,46,True
type2_2M_20260121_183657,2421,0.29296875,"[0.0, 0.00390625, 0.0, 0.0, 0.0078125, 0.01171875, 0.0234375, 0.03125, 0.07421875, 0.140625]",0.140625,0.0,0.140625,0.0,0.053587936115821654,55,False
type2_2M_20260121_183657,2447,0.26953125,"[0.0, 0.0, 0.00390625, 0.00390625, 0.00390625, 0.0, 0.0078125, 0.05078125, 0.05859375, 0.140625]",0.140625,0.0,0.140625,0.0,0.05117724778811956,46,False
type2_2M_20260121_183657,2474,0.22265625,"[0.0, 0.00390625, 0.0, 0.0, 0.0, 0.0, 0.015625, 0.03125, 0.0625, 0.109375]",0.109375,0.0,0.109375,0.0,0.0408632382459267,63,True
type2_2M_20260121_183657,2584,0.3046875,"[0.0, 0.0, 0.0, 0.0078125, 0.00390625, 0.015625, 0.00390625, 0.05078125, 0.078125, 0.14453125]",0.14453125,0.0,0.14453125,0.0,0.11986211730405863,93,False
type2_2M_20260121_183657,2601,0.26953125,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.02734375, 0.0234375, 0.078125, 0.1328125]",0.1328125,0.0,0.1328125,0.0,0.08015253168977786,47,False
type2_2M_20260121_183657,2699,0.22265625,"[0.0, 0.0, 0.00390625, 0.00390625, 0.01171875, 0.00390625, 0.01953125, 0.0234375, 0.0625, 0.09375]",0.09375,0.0,0.09375,0.0,0.03291961165311474,51,True
type2_2M_20260121_183657,2746,0.2734375,"[0.0, 0.0, 0.0, 0.0, 0.00390625, 0.00390625, 0.01171875, 0.05078125, 0.0703125, 0.1328125]",0.1328125,0.0,0.1328125,0.0,0.08305178501522514,51,False
type2_2M_20260121_183657,2770,0.26953125,"[0.00390625, 0.0, 0.00390625, 0.0078125, 0.00390625, 0.01171875, 0.01953125, 0.04296875, 0.0703125, 0.10546875]",0.10546875,0.0,0.10546875,0.00390625,0.07206351693537855,63,True
