arm,n,layer,prefix_rows,row_degree_min,rows_below_degree_2,row_degree_hist,variable_degree_min,variable_degree_max,rank,zero_rows,zero_columns,connected_components,largest_component_fraction,duplicate_projective_columns,base_pair_duplicates,support_triple_duplicates,m_cycle_rank,girth,girth_reason,row_degree_max,row_degree_sumsq,frozen_eligible,i1_pass,new_eligible,determinism_replay,build_wall_s
M1_ACCUMULATOR_FOREST_MAX,64,L1,59,1,9,"{""1"": 9, ""2"": 20, ""3"": 30}",2,3,59,0,0,1,1.0,0,0,0,0,6,,3,359,True,False,False,True,0.0
M1_ACCUMULATOR_FOREST_MAX,64,L1,64,1,14,"{""1"": 14, ""2"": 20, ""3"": 30}",2,3,64,0,0,1,1.0,0,0,0,0,6,,3,364,True,False,False,True,0.0
M1_ACCUMULATOR_FOREST_MAX,64,L2,43,2,0,"{""2"": 1, ""3"": 42}",2,2,43,0,0,1,1.0,0,0,0,0,6,,3,382,True,True,True,True,0.0
M1_ACCUMULATOR_FOREST_MAX,64,L2,52,1,8,"{""1"": 8, ""2"": 2, ""3"": 42}",2,3,52,0,0,1,1.0,0,0,0,0,4,,3,394,True,False,False,True,0.0
M1_ACCUMULATOR_FOREST_MAX,64,L2,64,1,20,"{""1"": 20, ""2"": 2, ""3"": 42}",2,3,64,0,0,1,1.0,0,0,0,0,4,,3,406,True,False,False,True,0.0
M1_ACCUMULATOR_FOREST_MAX,128,L1,98,2,0,"{""2"": 38, ""3"": 60}",2,2,98,0,0,1,1.0,0,0,0,0,6,,3,692,True,True,True,True,0.0
M1_ACCUMULATOR_FOREST_MAX,128,L1,118,1,19,"{""1"": 19, ""2"": 39, ""3"": 60}",2,3,118,0,0,1,1.0,0,0,0,0,6,,3,715,True,False,False,True,0.0
M1_ACCUMULATOR_FOREST_MAX,128,L1,128,1,29,"{""1"": 29, ""2"": 39, ""3"": 60}",2,3,128,0,0,1,1.0,0,0,0,0,6,,3,725,True,False,False,True,0.0
M1_ACCUMULATOR_FOREST_MAX,128,L2,86,2,0,"{""2"": 2, ""3"": 84}",2,2,86,0,0,1,1.0,0,0,0,0,6,,3,764,True,True,True,True,0.0
M1_ACCUMULATOR_FOREST_MAX,128,L2,104,1,17,"{""1"": 17, ""2"": 3, ""3"": 84}",2,3,104,0,0,1,1.0,0,0,0,0,6,,3,785,True,False,False,True,0.0
M1_ACCUMULATOR_FOREST_MAX,128,L2,128,1,41,"{""1"": 41, ""2"": 3, ""3"": 84}",2,3,128,0,0,1,1.0,0,0,0,0,6,,3,809,True,False,False,True,0.0
M1_ACCUMULATOR_FOREST_MAX,256,L1,196,2,0,"{""2"": 76, ""3"": 120}",2,2,196,0,0,1,1.0,0,0,0,0,6,,3,1384,True,True,True,True,0.01
M1_ACCUMULATOR_FOREST_MAX,256,L1,236,1,39,"{""1"": 39, ""2"": 77, ""3"": 120}",2,3,236,0,0,1,1.0,0,0,0,0,6,,3,1427,True,False,False,True,0.01
