s1,ce_l1,ce_l2,ce_joint,ce_l1_std,ce_l2_std,ce_joint_std,chain_max_abs_err,m1,m2,eligible,wall_s
0-4-5-8-9,3.8999992279125144,3.26234820204627,7.162347429958785,0.0074577082325871765,0.011397576818996577,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15903169999364763
0-4-6-7-8,3.902340589725151,3.2600068402336335,7.162347429958785,0.007809156909657187,0.01063215509061111,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16140440001618117
0-4-6-7-9,3.8996179221879794,3.262729507770805,7.162347429958785,0.007433768575568236,0.01116393389870961,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16123490000609308
0-4-6-8-9,3.9018593993501316,3.260488030608653,7.162347429958785,0.007635313582229485,0.010907562536464537,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1664077000459656
0-4-7-8-9,3.9000937660556954,3.2622536639030897,7.162347429958785,0.007030623883302528,0.011415470637982551,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16482189996168017
0-5-6-7-8,3.902801082336844,3.259546347621941,7.162347429958785,0.008244396768687537,0.010296615161610352,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1639500999590382
0-5-6-7-9,3.9016894109619322,3.2606580189968524,7.162347429958785,0.008200945022284562,0.010171934465515706,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16132469999138266
0-5-6-8-9,3.9012156054409797,3.2611318245178054,7.162347429958785,0.008629859274945022,0.010124585609949072,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16103039996232837
0-5-7-8-9,3.9010468060818573,3.2613006238769273,7.162347429958785,0.008123477474327071,0.010242022520331883,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16245020006317645
0-6-7-8-9,3.899276673191585,3.2630707567672,7.162347429958785,0.007704539875869533,0.010644734513444103,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1600394999841228
1-2-3-4-5,3.8637848164085717,3.298562613550213,7.162347429958785,0.0055148747053025094,0.013053024142933965,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1634300999576226
1-2-3-4-6,3.864625714738409,3.2977217152203755,7.162347429958785,0.006715036063596146,0.012331530618319068,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16260679997503757
1-2-3-4-7,3.863385083778366,3.2989623461804185,7.162347429958785,0.007214706213692378,0.011493522812729057,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1632818999933079
1-2-3-4-8,3.8629360871753855,3.2994113427833995,7.162347429958785,0.007343526219719736,0.011240877551960843,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16366069996729493
1-2-3-4-9,3.859790911717467,3.3025565182413175,7.162347429958785,0.00531341830630405,0.013189752442799083,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1615120000205934
1-2-3-5-6,3.864478479237756,3.2978689507210293,7.162347429958785,0.008446078604555228,0.009933412658418081,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16065899992827326
1-2-3-5-7,3.8643022433244525,3.298045186634332,7.162347429958785,0.006448377740281876,0.011913743769589737,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16427750000730157
1-2-3-5-8,3.863985504348599,3.2983619256101857,7.162347429958785,0.0071757089245935044,0.011547545467501178,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1591432000277564
1-2-3-5-9,3.8595362432388534,3.3028111867199312,7.162347429958785,0.0057983649346062555,0.012734566229022604,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15961189998779446
1-2-3-6-7,3.864449502243647,3.2978979277151375,7.162347429958785,0.00854242243917508,0.010527619977512366,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15952980006113648
1-2-3-6-8,3.863730068295621,3.2986173616631635,7.162347429958785,0.007635320605982396,0.010917883586962707,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16183180001098663
1-2-3-6-9,3.861710670211722,3.300636759747063,7.162347429958785,0.00703091059314881,0.011489566795065593,0.01830165163340225,8.881784197001252e-16,60,51,True,0.15981370001100004
1-2-3-7-8,3.8622113226826014,3.3001361072761837,7.162347429958785,0.006913450523539424,0.011889758323928438,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16114910005126148
1-2-3-7-9,3.859771100974499,3.302576328984286,7.162347429958785,0.006618322082350394,0.011942591162373001,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16056660003960133
1-2-3-8-9,3.8597786938400906,3.302568736118694,7.162347429958785,0.008966143250793781,0.009820608289259495,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16241369990166277
1-2-4-5-6,3.863936506090077,3.2984109238687074,7.162347429958785,0.006968753942406556,0.01181209685524543,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16391800006385893
1-2-4-5-7,3.8630670499400255,3.299280380018759,7.162347429958785,0.006385314165820188,0.012456455122843865,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1573544000275433
1-2-4-5-8,3.8630861839285067,3.2992612460302784,7.162347429958785,0.00661211391718022,0.012888320977677,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1605996999423951
1-2-4-5-9,3.858960742225481,3.303386687733304,7.162347429958785,0.005162868771158007,0.013290923185397999,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16017000004649162
1-2-4-6-7,3.8637414759432027,3.2986059540155823,7.162347429958785,0.007174348663397814,0.011593123550505685,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16213109996169806
1-2-4-6-8,3.8626594508531644,3.2996879791056206,7.162347429958785,0.006947741658731446,0.011695686395475193,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16978579992428422
1-2-4-6-9,3.861602907923236,3.300744522035549,7.162347429958785,0.00618631761800987,0.01232618271395432,0.01830165163340225,8.881784197001252e-16,60,51,True,0.16368260001763701
1-2-4-7-8,3.8631533617870186,3.2991940681717664,7.162347429958785,0.006672821412341392,0.01245902821582573,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1599908999633044
1-2-4-7-9,3.8597358106436874,3.3026116193150967,7.162347429958785,0.00544831985610481,0.012976048970802543,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1612889999523759
1-2-4-8-9,3.8592091250785763,3.3031383048802083,7.162347429958785,0.007107298775981964,0.011361780694027357,0.01830165163340225,8.881784197001252e-16,60,51,True,0.1616167000029236
