partition,seed,geometry,mode,rows_l1,rows_l2,exact,syndrome_recomputed,syndrome_decoder_flag,flag_agree,iterations,nonfinite,crash,prior_mass_on_truth,wall_s,rss_bytes,watchdog_ok
0-1-2-3-4,2026090605,nonsquare,L1,61,50,False,False,False,True,90,False,False,0.030267359900626498,0.5913541000336409,123957248,True
0-1-2-3-4,2026090605,nonsquare,L2-APP,61,50,False,False,False,True,90,False,False,0.028449739230294122,0.4964308999478817,123957248,True
0-1-2-3-4,2026090605,nonsquare,L2-oracle,61,50,False,False,False,True,90,False,False,0.046272356779293713,0.4927513999864459,123957248,True
0-1-2-3-4,2026090605,square,L1,64,64,False,False,False,True,90,False,False,0.030267359900626498,0.5844553000060841,123965440,True
0-1-2-3-4,2026090605,square,L2-APP,64,64,False,False,False,True,90,False,False,0.030999337464810255,0.5916311000473797,123969536,True
0-1-2-3-4,2026090605,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.046272356779293713,0.5884980000555515,123973632,True
0-1-2-3-4,2026090606,nonsquare,L1,61,50,False,False,False,True,90,False,False,0.03349625707735391,0.5837599000660703,123973632,True
0-1-2-3-4,2026090606,nonsquare,L2-APP,61,50,False,False,False,True,90,False,False,0.02295714106671474,0.492748299962841,123973632,True
0-1-2-3-4,2026090606,nonsquare,L2-oracle,61,50,False,False,False,True,90,False,False,0.03805000888944846,0.5028019000310451,123977728,True
0-1-2-3-4,2026090606,square,L1,64,64,False,False,False,True,90,False,False,0.03349625707735391,0.5925679999636486,123990016,True
0-1-2-3-4,2026090606,square,L2-APP,64,64,False,False,False,True,90,False,False,0.022571283879769394,0.5856372000416741,124203008,True
0-1-2-3-4,2026090606,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.03805000888944846,0.5874408999225125,124207104,True
0-1-2-3-4,2026090607,nonsquare,L1,61,50,False,False,False,True,90,False,False,0.03134834910773676,0.576673400006257,124207104,True
0-1-2-3-4,2026090607,nonsquare,L2-APP,61,50,False,False,False,True,90,False,False,0.03234373102821539,0.4927241000114009,124207104,True
0-1-2-3-4,2026090607,nonsquare,L2-oracle,61,50,False,False,False,True,90,False,False,0.04491169250328613,0.49327229999471456,124207104,True
0-1-2-3-4,2026090607,square,L1,64,64,False,False,False,True,90,False,False,0.03134834910773676,0.5876193000003695,124215296,True
0-1-2-3-4,2026090607,square,L2-APP,64,64,False,False,False,True,90,False,False,0.03140349874611877,0.5989094000542536,124215296,True
0-1-2-3-4,2026090607,square,L2-oracle,64,64,False,False,False,True,90,False,False,0.04491169250328613,0.5924040999962017,124219392,True
