dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_per_input_bit,beta_eff_empirical,raw_ser,post_ir_ser
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc_lite,64,9670a15685aa444a,1.00625,0.0,0.31640625,0.078125
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc_lite,64,e70c48e72e0f514c,1.1,0.0,0.31640625,0.0
real_typeii_20db_d32_bw40_blk0,32,40,layered_ldpc_lite,64,c0088d2836df2d57,1.1,0.0,0.31640625,0.0
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,221e5a91339f6e44,0.9125,0.0,0.26953125,0.08203125
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,e8db1e33326bc16a,1.00625,0.0,0.26953125,0.0
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,b07a3943cf9048dc,0.9125,0.0,0.26953125,0.08203125
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,9670a15685aa444a,1.00625,0.0,0.26953125,0.0
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.8385416666666666,0.0,0.125,0.0859375
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,ec874e3fd7633e78,0.8385416666666666,0.0,0.125,0.11328125
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,dc1d252b3b27a80e,0.6666666666666666,0.0,0.125,0.11328125
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,1b68567774e87e2e,0.6666666666666666,0.0,0.125,0.11328125
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,221e5a91339f6e44,0.9791666666666666,0.0,0.125,0.0546875
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,b07a3943cf9048dc,0.9791666666666666,0.0,0.125,0.0546875
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,c0088d2836df2d57,1.1,0.0,0.26953125,0.0
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,9670a15685aa444a,1.0729166666666667,0.0,0.125,0.0
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,e8db1e33326bc16a,1.0729166666666667,0.0,0.125,0.0
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,c0088d2836df2d57,1.1666666666666667,0.0,0.125,0.0
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,e70c48e72e0f514c,1.1666666666666667,0.0,0.125,0.0
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,1b68567774e87e2e,0.6666666666666666,0.0,0.0859375,0.07421875
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,dc1d252b3b27a80e,0.6666666666666666,0.0,0.0859375,0.07421875
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.8385416666666666,0.0,0.0859375,0.0625
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,e70c48e72e0f514c,1.1,0.0,0.26953125,0.0
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,ec874e3fd7633e78,0.8385416666666666,0.0,0.0859375,0.0625
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,b07a3943cf9048dc,0.9791666666666666,0.0,0.0859375,0.02734375
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,e8db1e33326bc16a,1.0729166666666667,0.0,0.0859375,0.0
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,c0088d2836df2d57,1.1666666666666667,0.0,0.0859375,0.0
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,9670a15685aa444a,1.0729166666666667,0.0,0.0859375,0.0
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,e70c48e72e0f514c,1.1666666666666667,0.0,0.0859375,0.0
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,221e5a91339f6e44,0.9791666666666666,0.0,0.0859375,0.02734375
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc_lite,64,ec874e3fd7633e78,0.8385416666666666,0.0,0.1171875,0.05078125
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc_lite,64,f3f67ce02bdd88ce,0.8385416666666666,0.0,0.1171875,0.05078125
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc_lite,64,b07a3943cf9048dc,0.9791666666666666,0.0,0.1171875,0.0
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc_lite,64,221e5a91339f6e44,0.9791666666666666,0.0,0.1171875,0.0
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc_lite,64,e8db1e33326bc16a,1.0729166666666667,0.0,0.1171875,0.0
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc_lite,64,9670a15685aa444a,1.0729166666666667,0.0,0.1171875,0.0
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc_lite,64,c0088d2836df2d57,1.1666666666666667,0.0,0.1171875,0.0
real_typeii_20db_d8_bw200_blk0,8,200,layered_ldpc_lite,64,e70c48e72e0f514c,1.1666666666666667,0.0,0.1171875,0.0
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc_lite,64,b07a3943cf9048dc,0.9791666666666666,0.0,0.23828125,0.13671875
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc_lite,64,9670a15685aa444a,1.0729166666666667,0.0,0.23828125,0.1484375
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc_lite,64,221e5a91339f6e44,0.9791666666666666,0.0,0.23828125,0.13671875
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc_lite,64,c0088d2836df2d57,1.1666666666666667,0.0,0.23828125,0.0
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc_lite,64,e70c48e72e0f514c,1.1666666666666667,0.0,0.23828125,0.0
real_typeii_20db_d8_bw50_blk0,8,50,layered_ldpc_lite,64,e8db1e33326bc16a,1.0729166666666667,0.0,0.23828125,0.1484375
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,128,1cdb1b55b06d0718,0.96640625,0.0,0.224609375,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,128,7bb66119b31ce8cd,0.341796875,0.0,0.224609375,0.00390625
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,128,3ddb0e813f8c9fa7,0.36015625,0.0,0.224609375,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,128,e41b94e22127bc2a,0.689453125,0.0,0.224609375,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,128,7bb66119b31ce8cd,0.3564453125,0.0,0.2578125,0.00390625
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,128,7ee822c7f60512c0,0.85390625,0.0,0.2578125,0.0
real_typeii_20db_d1024_bw100_blk0,1024,100,cascade_lite,128,d8c9e97fcf2fa52f,1.12109375,0.0,0.224609375,0.0
real_typeii_20db_d1024_bw180_blk0,1024,180,cascade_lite,128,3ddb0e813f8c9fa7,0.3720703125,0.0,0.2578125,0.00390625
