dataset_id,dimension,bin_width_ps,method,frame_len_symbols,param_hash,leak_EC_actual_bits,leak_EC_per_input_bit,leakage_accounting
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,e8db1e33326bc16a,1288.0,1.00625,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,b07a3943cf9048dc,1168.0,0.9125,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,9670a15685aa444a,1288.0,1.00625,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,f3f67ce02bdd88ce,644.0,0.8385416666666666,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,ec874e3fd7633e78,644.0,0.8385416666666666,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,dc1d252b3b27a80e,512.0,0.6666666666666666,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,1b68567774e87e2e,512.0,0.6666666666666666,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,221e5a91339f6e44,752.0,0.9791666666666666,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,b07a3943cf9048dc,752.0,0.9791666666666666,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,c0088d2836df2d57,1408.0,1.1,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,9670a15685aa444a,824.0,1.0729166666666667,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,e8db1e33326bc16a,824.0,1.0729166666666667,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,c0088d2836df2d57,896.0,1.1666666666666667,raw_EC_bits
real_typeii_20db_d8_bw120_blk0,8,120,layered_ldpc_lite,64,e70c48e72e0f514c,896.0,1.1666666666666667,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,1b68567774e87e2e,512.0,0.6666666666666666,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,dc1d252b3b27a80e,512.0,0.6666666666666666,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,f3f67ce02bdd88ce,644.0,0.8385416666666666,raw_EC_bits
real_typeii_20db_d32_bw60_blk0,32,60,layered_ldpc_lite,64,e70c48e72e0f514c,1408.0,1.1,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,ec874e3fd7633e78,644.0,0.8385416666666666,raw_EC_bits
real_typeii_20db_d8_bw180_blk0,8,180,layered_ldpc_lite,64,b07a3943cf9048dc,752.0,0.9791666666666666,raw_EC_bits
