call_idx,arm,n,seed,point,rows_l1,rows_l2,mode,matrix_id,exact,syndrome_ok,iterations,finite,crash,timeout,wall_timeout,prior_mass_on_truth,wall_s,rss_bytes,watchdog_ok,worker_pid,respawn_pid,error
90,B1_D5_DV3_COMMON_LABELS,64,2026091001,square,64,64,L2-oracle,B1_D5_DV3_COMMON_LABELS|n64|L1k64/L2k64,True,True,2,True,False,False,False,0.2822000156152909,0.014700100058689713,88178688,True,6460,,
91,T1_PEG_DV3,64,2026091002,f1.2,59,52,L2-APP,T1_PEG_DV3|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.07835502395579333,0.6552118000108749,88154112,True,19308,,
92,B0_D5_DV3_NATIVE,64,2026091000,square,64,64,L2-oracle,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,True,True,4,True,False,False,False,0.2877420345242554,0.02796510001644492,88301568,True,17684,,
93,B1_D5_DV3_COMMON_LABELS,64,2026091000,square,64,64,L2-oracle,B1_D5_DV3_COMMON_LABELS|n64|L1k64/L2k64,True,True,3,True,False,False,False,0.2877420345242554,0.03437140001915395,88100864,True,29100,,
94,B0_D5_DV3_NATIVE,64,2026091002,square,64,64,L2-oracle,B0_D5_DV3_NATIVE|n64|L1k64/L2k64,True,True,5,True,False,False,False,0.23389765318024605,0.05611429992131889,88317952,True,42992,,
95,T1_PEG_DV3,64,2026091001,square,64,64,L2-APP,T1_PEG_DV3|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.0937510768876259,0.7948568998835981,88440832,True,35976,,
96,T1_PEG_DV3,64,2026091002,square,64,64,L2-APP,T1_PEG_DV3|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.073404135746926,0.6205697001423687,88023040,True,36844,,
97,T1_PEG_DV3,64,2026091001,f1.2,59,52,L2-oracle,T1_PEG_DV3|n64|L1k59/L2k52,True,True,3,True,False,False,False,0.2822000156152909,0.024484100053086877,88088576,True,47648,,
98,T1_PEG_DV3,64,2026091003,f1.2,59,52,L2-APP,T1_PEG_DV3|n64|L1k59/L2k52,False,False,90,True,False,False,False,0.14589135476761406,0.6204325999133289,88137728,True,2868,,
99,T1_PEG_DV3,64,2026091003,square,64,64,L2-APP,T1_PEG_DV3|n64|L1k64/L2k64,False,False,90,True,False,False,False,0.2115967417292361,0.696714999852702,88264704,True,40944,,
100,T1_PEG_DV3,64,2026091002,f1.2,59,52,L2-oracle,T1_PEG_DV3|n64|L1k59/L2k52,True,True,9,True,False,False,False,0.23389765318024605,0.056826099986210465,88154112,True,19308,,
101,T1_PEG_DV3,64,2026091002,square,64,64,L2-oracle,T1_PEG_DV3|n64|L1k64/L2k64,True,True,3,True,False,False,False,0.23389765318024605,0.021156999981030822,88023040,True,36844,,
102,T1_PEG_DV3,64,2026091001,square,64,64,L2-oracle,T1_PEG_DV3|n64|L1k64/L2k64,True,True,2,True,False,False,False,0.2822000156152909,0.020666199969127774,88440832,True,35976,,
103,T1_PEG_DV3,64,2026091003,f1.2,59,52,L2-oracle,T1_PEG_DV3|n64|L1k59/L2k52,True,True,3,True,False,False,False,0.33478823024061705,0.017520700115710497,88137728,True,2868,,
104,T1_PEG_DV3,64,2026091003,square,64,64,L2-oracle,T1_PEG_DV3|n64|L1k64/L2k64,True,True,2,True,False,False,False,0.33478823024061705,0.014846900012344122,88268800,True,40944,,
105,T1_PEG_DV3,128,2026091100,f1.2,118,104,L1,T1_PEG_DV3|n128|L1k118/L2k104,False,False,90,True,False,False,False,0.11321717556417277,1.3809776999987662,88465408,True,40600,,
106,T1_PEG_DV3,128,2026091100,square,128,128,L1,T1_PEG_DV3|n128|L1k128/L2k128,False,False,90,True,False,False,False,0.11321717556417277,1.5461225998587906,88670208,True,33636,,
107,T1_PEG_DV3,128,2026091101,f1.2,118,104,L1,T1_PEG_DV3|n128|L1k118/L2k104,False,False,90,True,False,False,False,0.11028308382978412,1.3793758999090642,88465408,True,16964,,
108,T1_PEG_DV3,128,2026091101,square,128,128,L1,T1_PEG_DV3|n128|L1k128/L2k128,False,False,90,True,False,False,False,0.11028308382978412,1.5373104999307543,88485888,True,6460,,
109,T1_PEG_DV3,128,2026091102,f1.2,118,104,L1,T1_PEG_DV3|n128|L1k118/L2k104,False,False,90,True,False,False,False,0.09462067312898056,1.4390468001365662,88592384,True,17684,,
110,T1_PEG_DV3,128,2026091102,square,128,128,L1,T1_PEG_DV3|n128|L1k128/L2k128,False,False,90,True,False,False,False,0.09462067312898056,1.4757666001096368,88428544,True,34924,,
111,T1_PEG_DV3,128,2026091103,f1.2,118,104,L1,T1_PEG_DV3|n128|L1k118/L2k104,False,False,90,True,False,False,False,0.09958248275512757,1.4788506000768393,88412160,True,29100,,
112,T1_PEG_DV3,128,2026091103,square,128,128,L1,T1_PEG_DV3|n128|L1k128/L2k128,False,False,90,True,False,False,False,0.09958248275512757,1.4934936999343336,88653824,True,42992,,
113,M1_ACCUMULATOR_FOREST_MAX,128,2026091100,f1.2,118,104,L1,M1_ACCUMULATOR_FOREST_MAX|n128|L1k118/L2k104,False,False,-1,False,True,False,False,0.11321717556417277,0.010506500024348497,88567808,True,16112,,ValueError('Check node requires degree >= 2')
114,M1_ACCUMULATOR_FOREST_MAX,128,2026091100,square,128,128,L1,M1_ACCUMULATOR_FOREST_MAX|n128|L1k128/L2k128,False,False,-1,False,True,False,False,0.11321717556417277,0.018077900167554617,88399872,True,47648,,ValueError('Check node requires degree >= 2')
115,M1_ACCUMULATOR_FOREST_MAX,128,2026091101,f1.2,118,104,L1,M1_ACCUMULATOR_FOREST_MAX|n128|L1k118/L2k104,False,False,-1,False,True,False,False,0.11028308382978412,0.017691500019282103,88428544,True,5240,,ValueError('Check node requires degree >= 2')
116,M1_ACCUMULATOR_FOREST_MAX,128,2026091101,square,128,128,L1,M1_ACCUMULATOR_FOREST_MAX|n128|L1k128/L2k128,False,False,-1,False,True,False,False,0.11028308382978412,0.01703689992427826,88494080,True,39856,,ValueError('Check node requires degree >= 2')
