call_idx,identity_idx,schedule,f,seed,condition,layer,rows,n,exact,syndrome_ok,iterations,status,finite,symbol_errors,unsatisfied_checks,wall_s,rss_bytes,check_node_updates,check_edge_updates,belief_max_prob,belief_mean_true_p,belief_mean_entropy,beliefs_conditioned,current_belief_label
56,28,FLOODING,1.0,2026091306,L2_ORACLE_U1,L2,43,64,True,True,12,converged_exact,True,0,0,0.042804320000868756,105304064,516,1548,0.999999999803568,0.8564161528239045,0.6471984007909402,True,CHECK_UPDATED_CURRENT_BELIEF
57,29,ROW_LAYERED,1.0,2026091307,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,41,42,0.3534339160032687,105304064,4410,13230,0.7293834248913773,0.1544596802957134,4.021030307423551,True,CHECK_UPDATED_CURRENT_BELIEF
58,29,FLOODING,1.0,2026091307,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,41,42,0.3465465289991698,105304064,4410,13230,0.7293834248913771,0.15445968029571316,4.021030307423551,True,CHECK_UPDATED_CURRENT_BELIEF
59,30,ROW_LAYERED,1.0,2026091307,L1_ORACLE_U2,L1,49,64,True,True,4,converged_exact,True,0,0,0.015778656998008955,105304064,196,588,1.0,0.975996645069818,0.1534719875222862,True,CHECK_UPDATED_CURRENT_BELIEF
60,30,FLOODING,1.0,2026091307,L1_ORACLE_U2,L1,49,64,True,True,9,converged_exact,True,0,0,0.03327319300296949,105304064,441,1323,1.0,0.9648510034521258,0.1709615769178992,True,CHECK_UPDATED_CURRENT_BELIEF
61,31,ROW_LAYERED,1.0,2026091307,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,40,38,0.3071279779978795,105304064,3870,11610,0.9897830553004863,0.21067033984897382,3.807696534492173,True,CHECK_UPDATED_CURRENT_BELIEF
62,31,FLOODING,1.0,2026091307,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,40,38,0.3138146979981684,105304064,3870,11610,0.9897830553004863,0.2106703398489737,3.8076965344921736,True,CHECK_UPDATED_CURRENT_BELIEF
63,32,ROW_LAYERED,1.0,2026091307,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,8,3,0.31328624000161653,105304064,3870,11610,1.0,0.8616068938327084,0.5264242574140954,True,CHECK_UPDATED_CURRENT_BELIEF
64,32,FLOODING,1.0,2026091307,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,8,3,0.310995225001534,105304064,3870,11610,1.0,0.8616068938326945,0.5264242574140219,True,CHECK_UPDATED_CURRENT_BELIEF
65,33,ROW_LAYERED,1.0,2026091308,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,47,38,0.36230062800314045,105304064,4410,13230,0.6331376795900266,0.12337946901244326,3.919471864808469,True,CHECK_UPDATED_CURRENT_BELIEF
66,33,FLOODING,1.0,2026091308,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,47,38,0.3541927330006729,105304064,4410,13230,0.6331376795900271,0.1233794690124429,3.9194718648084694,True,CHECK_UPDATED_CURRENT_BELIEF
67,34,ROW_LAYERED,1.0,2026091308,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,10,8,0.3644002930013812,105304064,4410,13230,1.0,0.8296341613230893,0.4454955848171572,True,CHECK_UPDATED_CURRENT_BELIEF
68,34,FLOODING,1.0,2026091308,L1_ORACLE_U2,L1,49,64,False,False,90,converged_no_syndrome,True,11,12,0.36173353099729866,105304064,4410,13230,1.0,0.8183867115352648,0.44365911307486583,True,CHECK_UPDATED_CURRENT_BELIEF
69,35,ROW_LAYERED,1.0,2026091308,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,35,0.3183711620004033,105304064,3870,11610,0.6563396140416824,0.12466239505086743,4.089308999146057,True,CHECK_UPDATED_CURRENT_BELIEF
70,35,FLOODING,1.0,2026091308,L2_MARGINAL,L2,43,64,False,False,90,converged_no_syndrome,True,47,35,0.31409146200167015,105304064,3870,11610,0.6563396140407806,0.12466239505087252,4.089308999146732,True,CHECK_UPDATED_CURRENT_BELIEF
71,36,ROW_LAYERED,1.0,2026091308,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,24,11,0.3184307710034773,105304064,3870,11610,0.999999998396059,0.5479108283233636,2.016518305777738,True,CHECK_UPDATED_CURRENT_BELIEF
72,36,FLOODING,1.0,2026091308,L2_ORACLE_U1,L2,43,64,False,False,90,converged_no_syndrome,True,24,11,0.31492580300255213,105304064,3870,11610,0.9999999983960595,0.5479108146015913,2.016518402158229,True,CHECK_UPDATED_CURRENT_BELIEF
73,37,ROW_LAYERED,1.0,2026091309,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,41,39,0.36732290100189857,105304064,4410,13230,0.5477046766712638,0.15421834277215107,4.080413374282421,True,CHECK_UPDATED_CURRENT_BELIEF
74,37,FLOODING,1.0,2026091309,L1_MARGINAL,L1,49,64,False,False,90,converged_no_syndrome,True,41,39,0.3612569169999915,105304064,4410,13230,0.5477046766712627,0.1542183427721513,4.080413374282421,True,CHECK_UPDATED_CURRENT_BELIEF
75,38,ROW_LAYERED,1.0,2026091309,L1_ORACLE_U2,L1,49,64,True,True,3,converged_exact,True,0,0,0.011875312993652187,105304064,147,441,0.9999999999998268,0.9243361396012945,0.44651550297127945,True,CHECK_UPDATED_CURRENT_BELIEF
